#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
E_sp_ZWU0009_fita         -         tmRNA                RF00023    cm        1      354  2531324  2530966      -    no    1 0.54   0.0  155.1     1e-43 !   -
E_acetylicum_DSM_20416    -         tmRNA                RF00023    cm        1      354  2037234  2036876      -    no    1 0.54   0.0  155.1     1e-43 !   -
E_enclense_NIO-1109       -         tmRNA                RF00023    cm        1      354   457749   458107      +    no    1 0.54   0.0  155.0     1e-43 !   -
E_sibiricum_255-15        -         tmRNA                RF00023    cm        1      354  2340046  2339688      -    no    1 0.53   0.0  154.9   1.2e-43 !   -
E_antarcticum_dsm14480    -         tmRNA                RF00023    cm        1      354   856307   855949      -    no    1 0.53   0.0  154.8   1.2e-43 !   -
E_indicum_HHS_31          -         tmRNA                RF00023    cm        1      354  2187808  2187450      -    no    1 0.54   0.0  154.7   1.3e-43 !   -
E_oxidotolerans_JCM_12280 -         tmRNA                RF00023    cm        1      354   899864   899506      -    no    1 0.53   0.0  154.4   1.6e-43 !   -
E_sp_MH3                  -         tmRNA                RF00023    cm        1      354  2429571  2429213      -    no    1 0.54   0.0  154.3   1.8e-43 !   -
Emexicanum                -         Intron_gpI           RF00028    cm        1      251  1435429  1435059      -    no    1 0.44   0.0   86.8   1.8e-20 !   -
Ealkaliphilum_12_1        -         Intron_gpI           RF00028    cm        1      251  1218549  1218911      +    no    1 0.43   0.0   83.6   1.5e-19 !   -
Ealkaliphilum_12_1        -         Intron_gpI           RF00028    cm        1      251  3036868  3037230      +    no    1 0.43   0.0   83.6   1.5e-19 !   -
E_antarcticum_dsm14480    -         Intron_gpI           RF00028    cm        1      251   918795   918474      -    no    1 0.48   0.0   81.9   4.6e-19 !   -
E_oxidotolerans_JCM_12280 -         Intron_gpI           RF00028    cm        1      251   959557   959236      -    no    1 0.49   0.0   78.8   3.7e-18 !   -
E_enclense_NIO-1109       -         Intron_gpI           RF00028    cm        1      251   393810   394135      +    no    1 0.48   0.0   78.5   4.4e-18 !   -
E_sp_U13-1                -         Intron_gpI           RF00028    cm        1      251  2991483  2991163      -    no    1 0.47   0.0   76.7   1.5e-17 !   -
E_acetylicum_DSM_20416    -         Intron_gpI           RF00028    cm        1      251  2100474  2100154      -    no    1 0.47   0.0   76.7   1.5e-17 !   -
E_sibiricum_255-15        -         Intron_gpI           RF00028    cm        1      251  2403014  2402693      -    no    1 0.48   0.0   74.0   8.9e-17 !   -
E_sp_MH3                  -         FMN                  RF00050    cm        1      140  2380452  2380593      +    no    1 0.51   0.0  126.9   8.5e-30 !   -
E_enclense_NIO-1109       -         FMN                  RF00050    cm        1      140   507552   507411      -    no    1 0.51   0.0  126.9   8.5e-30 !   -
E_indicum_HHS_31          -         FMN                  RF00050    cm        1      140  3072957  3072816      -    no    1 0.51   0.0  126.9   8.5e-30 !   -
E_sp_U13-1                -         FMN                  RF00050    cm        1      140  2877980  2878122      +    no    1 0.52   0.0  126.3   1.2e-29 !   -
E_sp_ZWU0009_fita         -         FMN                  RF00050    cm        1      140  2478996  2479138      +    no    1 0.52   0.0  126.3   1.2e-29 !   -
E_acetylicum_DSM_20416    -         FMN                  RF00050    cm        1      140  1979397  1979539      +    no    1 0.52   0.0  126.3   1.2e-29 !   -
E_oxidotolerans_JCM_12280 -         FMN                  RF00050    cm        1      140   848308   848447      +    no    1 0.54   0.0  125.1   2.7e-29 !   -
E_sibiricum_255-15        -         FMN                  RF00050    cm        1      140  2287514  2287654      +    no    1 0.55   0.0  124.2   4.7e-29 !   -
E_antarcticum_dsm14480    -         FMN                  RF00050    cm        1      140   777724   777864      +    no    1 0.55   0.0  123.6   6.7e-29 !   -
E_sp_AT1b                 -         FMN                  RF00050    cm        1      140   731624   731766      +    no    1 0.52   0.0  121.5   2.5e-28 !   -
E_profundum_PHM_11        -         FMN                  RF00050    cm        1      140  1335616  1335474      -    no    1 0.52   0.0  121.5   2.5e-28 !   -
Ealkaliphilum_12_1        -         FMN                  RF00050    cm        1      140  2098245  2098104      -    no    1 0.54   0.0  121.1   3.3e-28 !   -
Eaurantiacum              -         FMN                  RF00050    cm        1      140  1407315  1407174      -    no    1 0.54   0.0  121.1   3.3e-28 !   -
Echiriqhuca               -         FMN                  RF00050    cm        1      140   876210   876069      -    no    1 0.54   0.0  121.0   3.4e-28 !   -
Emexicanum                -         FMN                  RF00050    cm        1      140  1311429  1311570      +    no    1 0.54   0.0  121.0   3.4e-28 !   -
E_marinum_DSM_16307       -         FMN                  RF00050    cm        1      140  1294113  1293971      -    no    1 0.52   0.0  120.8   3.9e-28 !   -
E_antarcticum_dsm14480    -         FMN                  RF00050    cm        1      140  1207966  1207822      -    no    1 0.55   0.0  118.2     2e-27 !   -
E_sibiricum_255-15        -         FMN                  RF00050    cm        1      140  2703637  2703493      -    no    1 0.54   0.0  117.1     4e-27 !   -
E_sp_MH3                  -         FMN                  RF00050    cm        1      140  2807521  2807377      -    no    1 0.57   0.0  116.5   5.6e-27 !   -
E_sp_U13-1                -         FMN                  RF00050    cm        1      140    98253    98109      -    no    1 0.57   0.0  116.5   5.6e-27 !   -
E_sp_ZWU0009_fita         -         FMN                  RF00050    cm        1      140  2925775  2925631      -    no    1 0.57   0.0  116.5   5.6e-27 !   -
E_acetylicum_DSM_20416    -         FMN                  RF00050    cm        1      140  2397639  2397495      -    no    1 0.57   0.0  116.5   5.6e-27 !   -
E_enclense_NIO-1109       -         FMN                  RF00050    cm        1      140    87178    87322      +    no    1 0.57   0.0  116.5   5.6e-27 !   -
E_indicum_HHS_31          -         FMN                  RF00050    cm        1      140  2956612  2956468      -    no    1 0.57   0.0  116.5   5.6e-27 !   -
E_oxidotolerans_JCM_12280 -         FMN                  RF00050    cm        1      140  1236826  1236682      -    no    1 0.59   0.0  114.3   2.3e-26 !   -
E_sp_AT1b                 -         FMN                  RF00050    cm        1      140   948984   948842      -    no    1 0.57   0.0  110.3   2.7e-25 !   -
E_marinum_DSM_16307       -         FMN                  RF00050    cm        1      140  1093470  1093612      +    no    1 0.57   0.0  110.3   2.7e-25 !   -
Ealkaliphilum_12_1        -         FMN                  RF00050    cm        1      140  2566472  2566614      +    no    1 0.56   0.0  109.0   6.4e-25 !   -
Echiriqhuca               -         FMN                  RF00050    cm        1      140   668303   668445      +    no    1 0.57   0.0  108.7   7.4e-25 !   -
Eaurantiacum              -         FMN                  RF00050    cm        1      140  1186278  1186420      +    no    1 0.56   0.0  108.7   7.6e-25 !   -
Emexicanum                -         FMN                  RF00050    cm        1      140  1524391  1524249      -    no    1 0.57   0.0  107.7   1.4e-24 !   -
E_profundum_PHM_11        -         FMN                  RF00050    cm        1      140  1115855  1115997      +    no    1 0.56   0.0  106.1   3.8e-24 !   -
Eaurantiacum              -         TPP                  RF00059    cm        1      105   688649   688753      +    no    1 0.55   0.0   87.2   4.5e-16 !   -
E_marinum_DSM_16307       -         TPP                  RF00059    cm        1      105   616280   616384      +    no    1 0.56   0.0   87.0     5e-16 !   -
Echiriqhuca               -         TPP                  RF00059    cm        1      105   176747   176851      +    no    1 0.57   0.0   86.9   5.1e-16 !   -
Emexicanum                -         TPP                  RF00059    cm        1      105  2038198  2038094      -    no    1 0.57   0.0   86.9   5.1e-16 !   -
E_sp_AT1b                 -         TPP                  RF00059    cm        1      105  1497215  1497111      -    no    1 0.58   0.0   86.3   7.1e-16 !   -
Eaurantiacum              -         TPP                  RF00059    cm        1      105  2966798  2966697      -    no    1 0.52   0.0   85.8   9.5e-16 !   -
E_profundum_PHM_11        -         TPP                  RF00059    cm        1      105   626125   626229      +    no    1 0.59   0.0   85.1   1.4e-15 !   -
E_profundum_PHM_11        -         TPP                  RF00059    cm        1      105   594696   594598      -    no    1 0.57   0.0   84.6   1.8e-15 !   -
Ealkaliphilum_12_1        -         TPP                  RF00059    cm        1      105  1329032  1328928      -    no    1 0.57   0.0   84.2   2.3e-15 !   -
E_sp_AT1b                 -         TPP                  RF00059    cm        1      105  1528634  1528732      +    no    1 0.59   0.0   83.5   3.4e-15 !   -
E_marinum_DSM_16307       -         TPP                  RF00059    cm        1      105   586873   586774      -    no    1 0.59   0.0   81.1   1.3e-14 !   -
Echiriqhuca               -         TPP                  RF00059    cm        1      105   132961   132863      -    no    1 0.61   0.0   81.0   1.3e-14 !   -
Emexicanum                -         TPP                  RF00059    cm        1      105  2081923  2082021      +    no    1 0.61   0.0   81.0   1.3e-14 !   -
E_acetylicum_DSM_20416    -         TPP                  RF00059    cm        1      105  3268625  3268725      +    no    1 0.41   0.0   80.5   1.8e-14 !   -
Ealkaliphilum_12_1        -         TPP                  RF00059    cm        1      105  1367337  1367435      +    no    1 0.59   0.0   80.5   1.8e-14 !   -
Eaurantiacum              -         TPP                  RF00059    cm        1      105   649106   649008      -    no    1 0.59   0.0   80.5   1.8e-14 !   -
E_antarcticum_dsm14480    -         TPP                  RF00059    cm        1      105  3146550  3146451      -    no    1 0.49   0.0   78.1   6.6e-14 !   -
E_enclense_NIO-1109       -         TPP                  RF00059    cm        1      105  3054651  3054751      +    no    1 0.42   0.0   78.0   7.1e-14 !   -
E_sp_MH3                  -         TPP                  RF00059    cm        1      105   957514   957620      +    no    1 0.51   0.0   77.9   7.4e-14 !   -
E_enclense_NIO-1109       -         TPP                  RF00059    cm        1      105  1569778  1569884      +    no    1 0.51   0.0   77.9   7.4e-14 !   -
E_indicum_HHS_31          -         TPP                  RF00059    cm        1      105   609374   609480      +    no    1 0.51   0.0   77.9   7.4e-14 !   -
E_sp_ZWU0009_fita         -         TPP                  RF00059    cm        1      105  1681483  1681582      +    no    1 0.48   0.0   77.2   1.1e-13 !   -
E_sp_U13-1                -         TPP                  RF00059    cm        1      105  1442235  1442341      +    no    1 0.50   0.0   77.2   1.1e-13 !   -
E_sp_ZWU0009_fita         -         TPP                  RF00059    cm        1      105  1005145  1005251      +    no    1 0.50   0.0   77.2   1.1e-13 !   -
E_acetylicum_DSM_20416    -         TPP                  RF00059    cm        1      105   553068   553174      +    no    1 0.50   0.0   77.2   1.1e-13 !   -
E_oxidotolerans_JCM_12280 -         TPP                  RF00059    cm        1      105    99446    99348      -    no    1 0.51   0.0   77.2   1.1e-13 !   -
E_oxidotolerans_JCM_12280 -         TPP                  RF00059    cm        1      105  2889296  2889396      +    no    1 0.40   0.0   77.1   1.1e-13 !   -
E_indicum_HHS_31          -         TPP                  RF00059    cm        1      105  3239312  3239412      +    no    1 0.42   0.0   76.7   1.5e-13 !   -
E_sp_MH3                  -         TPP                  RF00059    cm        1      105  1595582  1595681      +    no    1 0.50   0.0   76.2   1.9e-13 !   -
E_sp_U13-1                -         TPP                  RF00059    cm        1      105  2075221  2075320      +    no    1 0.50   0.0   76.2   1.9e-13 !   -
E_acetylicum_DSM_20416    -         TPP                  RF00059    cm        1      105  1178483  1178582      +    no    1 0.50   0.0   76.2   1.9e-13 !   -
E_enclense_NIO-1109       -         TPP                  RF00059    cm        1      105  2991630  2991729      +    no    1 0.50   0.0   76.2   1.9e-13 !   -
E_indicum_HHS_31          -         TPP                  RF00059    cm        1      105  1194855  1194954      +    no    1 0.50   0.0   76.2   1.9e-13 !   -
E_sibiricum_255-15        -         TPP                  RF00059    cm        1      105  1548043  1547944      -    no    1 0.53   0.0   75.0   3.7e-13 !   -
E_sibiricum_255-15        -         TPP                  RF00059    cm        1      105  1239860  1239962      +    no    1 0.50   0.0   72.3   1.6e-12 !   -
E_oxidotolerans_JCM_12280 -         TPP                  RF00059    cm        1      105  2155516  2155626      +    no    1 0.47   0.0   72.0   1.9e-12 !   -
E_sp_U13-1                -         TPP                  RF00059    cm        1      105  1685622  1685724      +    no    1 0.51   0.0   71.6   2.4e-12 !   -
E_enclense_NIO-1109       -         TPP                  RF00059    cm        1      105  1811692  1811794      +    no    1 0.51   0.0   71.6   2.4e-12 !   -
E_acetylicum_DSM_20416    -         TPP                  RF00059    cm        1      105   796214   796316      +    no    1 0.51   0.0   71.6   2.5e-12 !   -
E_oxidotolerans_JCM_12280 -         TPP                  RF00059    cm        1      105  2859323  2859425      +    no    1 0.50   0.0   71.6   2.5e-12 !   -
E_antarcticum_dsm14480    -         TPP                  RF00059    cm        1      105  2926244  2926346      +    no    1 0.50   0.0   71.2   2.9e-12 !   -
E_sp_MH3                  -         TPP                  RF00059    cm        1      105  1197625  1197727      +    no    1 0.52   0.0   71.1   3.1e-12 !   -
E_sp_ZWU0009_fita         -         TPP                  RF00059    cm        1      105  1263954  1264056      +    no    1 0.52   0.0   71.1   3.1e-12 !   -
E_indicum_HHS_31          -         TPP                  RF00059    cm        1      105   851093   851195      +    no    1 0.52   0.0   71.1   3.1e-12 !   -
E_antarcticum_dsm14480    -         TPP                  RF00059    cm        1      105  2259437  2259547      +    no    1 0.50   0.0   70.3   4.9e-12 !   -
E_sibiricum_255-15        -         TPP                  RF00059    cm        1      105   576921   577031      +    no    1 0.51   0.0   70.2   5.2e-12 !   -
E_enclense_NIO-1109       -         TPP                  RF00059    cm        1      105  2662914  2663024      +    no    1 0.48   0.0   70.0   5.9e-12 !   -
E_sp_MH3                  -         TPP                  RF00059    cm        1      105   551469   551579      +    no    1 0.49   0.0   69.8   6.6e-12 !   -
E_sp_U13-1                -         TPP                  RF00059    cm        1      105  1035517  1035627      +    no    1 0.49   0.0   69.8   6.6e-12 !   -
E_sp_ZWU0009_fita         -         TPP                  RF00059    cm        1      105   598299   598409      +    no    1 0.49   0.0   69.8   6.6e-12 !   -
E_acetylicum_DSM_20416    -         TPP                  RF00059    cm        1      105   157355   157465      +    no    1 0.49   0.0   69.8   6.6e-12 !   -
E_indicum_HHS_31          -         TPP                  RF00059    cm        1      105  2729085  2728975      -    no    1 0.49   0.0   69.8   6.6e-12 !   -
E_marinum_DSM_16307       -         TPP                  RF00059    cm        1      105  1715752  1715852      +    no    1 0.53   0.0   66.3   4.4e-11 !   -
Emexicanum                -         TPP                  RF00059    cm        1      105   445105   445205      +    no    1 0.51   0.0   66.3   4.6e-11 !   -
E_sp_AT1b                 -         TPP                  RF00059    cm        1      105   303231   303131      -    no    1 0.53   0.0   66.1   4.9e-11 !   -
E_profundum_PHM_11        -         TPP                  RF00059    cm        1      105  1781731  1781831      +    no    1 0.53   0.0   66.1   4.9e-11 !   -
Ealkaliphilum_12_1        -         TPP                  RF00059    cm        1      105   530933   531033      +    no    1 0.53   0.0   66.0   5.2e-11 !   -
Eaurantiacum              -         TPP                  RF00059    cm        1      105  1822748  1822848      +    no    1 0.53   0.0   66.0   5.2e-11 !   -
Echiriqhuca               -         TPP                  RF00059    cm        1      105  1293896  1293996      +    no    1 0.53   0.0   66.0   5.2e-11 !   -
Emexicanum                -         TPP                  RF00059    cm        1      105   896223   896123      -    no    1 0.53   0.0   66.0   5.2e-11 !   -
E_marinum_DSM_16307       -         TPP                  RF00059    cm        1      105  2099963  2099863      -    no    1 0.52   0.0   65.4   7.4e-11 !   -
E_oxidotolerans_JCM_12280 -         TPP                  RF00059    cm        1      105   435259   435153      -    no    1 0.57   0.0   65.2   8.1e-11 !   -
E_sibiricum_255-15        -         TPP                  RF00059    cm        1      105  1877798  1877692      -    no    1 0.58   0.0   64.9   9.5e-11 !   -
E_sp_AT1b                 -         TPP                  RF00059    cm        1      105  2841008  2841108      +    no    1 0.53   0.0   64.9   9.6e-11 !   -
E_profundum_PHM_11        -         TPP                  RF00059    cm        1      105  2176716  2176616      -    no    1 0.53   0.0   64.9   9.6e-11 !   -
E_oxidotolerans_JCM_12280 -         TPP                  RF00059    cm        1      105  2613702  2613807      +    no    1 0.54   0.0   64.8     1e-10 !   -
E_antarcticum_dsm14480    -         TPP                  RF00059    cm        1      105   370271   370165      -    no    1 0.59   0.0   64.8     1e-10 !   -
Eaurantiacum              -         TPP                  RF00059    cm        1      105  2243767  2243667      -    no    1 0.52   0.0   64.7   1.1e-10 !   -
Echiriqhuca               -         TPP                  RF00059    cm        1      105  1754576  1754476      -    no    1 0.52   0.0   64.7   1.1e-10 !   -
E_antarcticum_dsm14480    -         TPP                  RF00059    cm        1      105  2671858  2671963      +    no    1 0.54   0.0   64.0   1.6e-10 !   -
E_sp_MH3                  -         TPP                  RF00059    cm        1      105  1984271  1984162      -    no    1 0.55   0.0   63.3   2.4e-10 !   -
E_sp_U13-1                -         TPP                  RF00059    cm        1      105  2473190  2473081      -    no    1 0.55   0.0   63.3   2.4e-10 !   -
E_sp_ZWU0009_fita         -         TPP                  RF00059    cm        1      105  2076417  2076308      -    no    1 0.55   0.0   63.3   2.4e-10 !   -
E_acetylicum_DSM_20416    -         TPP                  RF00059    cm        1      105  1574528  1574419      -    no    1 0.55   0.0   63.3   2.4e-10 !   -
E_enclense_NIO-1109       -         TPP                  RF00059    cm        1      105   904000   904109      +    no    1 0.55   0.0   63.3   2.4e-10 !   -
E_indicum_HHS_31          -         TPP                  RF00059    cm        1      105  1591931  1591822      -    no    1 0.55   0.0   63.3   2.4e-10 !   -
E_sibiricum_255-15        -         TPP                  RF00059    cm        1      105   987623   987728      +    no    1 0.56   0.0   62.0   4.7e-10 !   -
Ealkaliphilum_12_1        -         TPP                  RF00059    cm        1      105   661438   661537      +    no    1 0.54   0.0   61.5   6.3e-10 !   -
E_marinum_DSM_16307  -         yybP-ykoY            RF00080    cm       10      175  1700055  1700181      +    no    1 0.48   0.0   39.5   1.7e-07 !   -
E_sp_AT1b            -         yybP-ykoY            RF00080    cm       10      175   321263   321137      -    no    1 0.49   0.0   36.2   1.4e-06 !   -
E_profundum_PHM_11   -         yybP-ykoY            RF00080    cm       10      175  1745368  1745494      +    no    1 0.50   0.0   35.9   1.7e-06 !   -
Emexicanum           -         SraG                 RF00082    cm        1      177  3279711  3279576      -    no    1 0.38   0.0   49.8     5e-06 !   -
Emexicanum           -         GlmZ_SraJ            RF00083    cm        1      212  3253061  3252858      -    no    1 0.45   0.0  153.3   6.9e-38 !   -
Emexicanum           -         GlmZ_SraJ            RF00083    cm        1      212  3280789  3280674      -    no    1 0.49   0.0   40.6     6e-07 !   -
E_profundum_PHM_11   -         CsrC                 RF00084    cm        1      255  2835972  2836202      +    no    1 0.50   3.1  176.6   1.1e-54 !   -
Echiriqhuca          -         CsrC                 RF00084    cm      121      244   569463   569610      +    no    1 0.47   0.0   29.8   7.8e-06 !   -
Emexicanum           -         GlmY_tke1            RF00128    cm        1      163  3253059  3252907      -    no    1 0.47   0.0   82.8   7.6e-17 !   -
Emexicanum           -         GlmY_tke1            RF00128    cm        1      163  3280868  3280687      -    no    1 0.48   0.0   76.8   2.6e-15 !   -
Emexicanum           -         Alpha_RBS            RF00140    cm        1      110  2999587  2999478      -    no    1 0.37   0.0  104.7     6e-24 !   -
E_sibiricum_255-15        -         SAM                  RF00162    cm        1      108  2949654  2949549      -    no    1 0.48   0.0   94.5   4.1e-22 !   -
E_sp_AT1b                 -         SAM                  RF00162    cm        1      108   763985   763879      -    no    1 0.53   0.0   92.6   1.5e-21 !   -
E_profundum_PHM_11        -         SAM                  RF00162    cm        1      108  1306038  1306144      +    no    1 0.53   0.0   92.6   1.5e-21 !   -
Echiriqhuca               -         SAM                  RF00162    cm        1      108  1337560  1337664      +    no    1 0.50   0.0   92.4   1.7e-21 !   -
E_sp_MH3                  -         SAM                  RF00162    cm        1      108  2811629  2811526      -    no    1 0.50   0.0   92.1   2.1e-21 !   -
